tok,c_br,c_pt,fpm_br,fpm_pt,delta_fpm,abs_delta_fpm
estas,13479,22797,179.968,303.166,123.198,123.198
deves,874,10119,11.669,134.568,122.898,122.898
mas,441041,452026,5888.662,6011.271,122.609,122.609
às,39406,48756,526.138,648.382,122.244,122.244
pouco,66573,57726,888.865,767.67,-121.195,121.195
amo,16982,7937,226.739,105.55,-121.189,121.189
ali,24519,33657,327.371,447.588,120.217,120.217
tinhas,641,9679,8.558,128.716,120.158,120.158
caras,12292,3341,164.12,44.43,-119.689,119.689
quiseres,547,9527,7.303,126.695,119.391,119.391
podia,21897,30921,292.363,411.203,118.84,118.84
garotas,10695,1839,142.797,24.456,-118.341,118.341
essas,23356,14570,311.843,193.759,-118.084,118.084
verdade,64571,56023,862.135,745.022,-117.113,117.113
miúda,472,9273,6.302,123.317,117.015,117.015
mau,8300,17063,110.819,226.912,116.093,116.093
controle,12325,3657,164.56,48.633,-115.927,115.927
